date,average brews
1/26/2021,
1/27/2021,
1/28/2021,
1/29/2021,
1/30/2021,57.0
1/31/2021,62.2
2/1/2021,71.4
2/2/2021,103.2
2/3/2021,166.2
2/4/2021,271.4
2/5/2021,390.2
2/6/2021,528.8
2/7/2021,642.8
2/8/2021,737.4
2/9/2021,793.6
2/10/2021,834.6
2/11/2021,852.4
2/12/2021,869.2
2/13/2021,862.0
2/14/2021,847.8
2/15/2021,852.8
2/16/2021,858.4
2/17/2021,868.6
2/18/2021,895.0
2/19/2021,926.0
2/20/2021,925.2
2/21/2021,917.4
2/22/2021,895.6
2/23/2021,884.8
2/24/2021,872.2
2/25/2021,870.4
2/26/2021,871.4
2/27/2021,881.4
2/28/2021,872.4
3/1/2021,877.8
3/2/2021,875.6
3/3/2021,871.4
3/4/2021,882.2
3/5/2021,890.2
3/6/2021,875.4
3/7/2021,858.2
3/8/2021,847.4
3/9/2021,826.2
3/10/2021,821.4
3/11/2021,824.6
3/12/2021,833.2
3/13/2021,836.2
3/14/2021,825.6
3/15/2021,831.0
3/16/2021,834.6
3/17/2021,838.8
3/18/2021,855.6
3/19/2021,880.0
3/20/2021,867.2
3/21/2021,845.8
3/22/2021,848.6
3/23/2021,843.4
3/24/2021,844.2
3/25/2021,852.8
3/26/2021,868.2
3/27/2021,840.6
3/28/2021,820.4
3/29/2021,819.2
3/30/2021,818.0
3/31/2021,815.6
4/1/2021,843.8
4/2/2021,862.6
4/3/2021,839.6
4/4/2021,829.2
4/5/2021,836.4
4/6/2021,828.8
4/7/2021,817.0
4/8/2021,817.0
4/9/2021,808.8
4/10/2021,783.6
4/11/2021,778.6
4/12/2021,783.6
4/13/2021,793.6
4/14/2021,806.8
4/15/2021,817.0
4/16/2021,794.0
4/17/2021,763.6
4/18/2021,725.2
4/19/2021,705.0
4/20/2021,687.2
4/21/2021,689.4
4/22/2021,697.6
4/23/2021,717.4
4/24/2021,710.0
4/25/2021,699.4
4/26/2021,696.6
4/27/2021,695.0
4/28/2021,710.0
4/29/2021,733.4
4/30/2021,760.6
5/1/2021,764.0
5/2/2021,750.6
5/3/2021,754.6
5/4/2021,752.2
5/5/2021,757.6
5/6/2021,775.8
5/7/2021,802.8
5/8/2021,783.0
5/9/2021,771.4
5/10/2021,769.2
5/11/2021,762.4
5/12/2021,768.0
5/13/2021,784.8
5/14/2021,793.4
5/15/2021,770.2
5/16/2021,759.8
5/17/2021,769.6
5/18/2021,768.6
5/19/2021,774.2
5/20/2021,794.2
5/21/2021,802.6
5/22/2021,768.8
5/23/2021,745.4
5/24/2021,768.4
5/25/2021,806.0
5/26/2021,863.2
5/27/2021,946.6
5/28/2021,1038.4
5/29/2021,1084.2
5/30/2021,1127.2
5/31/2021,1159.4
6/1/2021,1178.8
6/2/2021,1202.2
6/3/2021,1213.8
6/4/2021,1216.6
6/5/2021,1206.6
6/6/2021,1200.8
6/7/2021,1204.4
6/8/2021,1205.0
6/9/2021,1213.4
6/10/2021,1236.4
6/11/2021,1252.2
6/12/2021,1222.6
6/13/2021,1212.8
6/14/2021,1218.4
6/15/2021,1213.4
6/16/2021,1204.4
6/17/2021,1230.4
6/18/2021,1234.2
6/19/2021,1210.0
6/20/2021,1205.2
6/21/2021,1217.8
6/22/2021,1236.8
6/23/2021,1251.0
6/24/2021,1279.6
6/25/2021,1286.0
6/26/2021,1269.8
6/27/2021,1231.0
6/28/2021,1230.8
6/29/2021,1222.4
6/30/2021,1214.4
7/1/2021,1228.0
7/2/2021,1235.6
7/3/2021,1215.8
7/4/2021,1188.8
7/5/2021,1166.8
7/6/2021,1153.2
7/7/2021,1161.8
7/8/2021,1175.6
7/9/2021,1184.0
7/10/2021,1207.6
7/11/2021,1193.8
7/12/2021,1185.8
7/13/2021,1188.8
7/14/2021,1201.8
7/15/2021,1200.4
7/16/2021,1209.0
7/17/2021,1203.4
7/18/2021,1181.2
7/19/2021,1179.8
7/20/2021,1176.8
7/21/2021,1178.4
7/22/2021,1065.4
7/23/2021,946.0
7/24/2021,917.6
7/25/2021,883.8
7/26/2021,875.0
7/27/2021,996.4
7/28/2021,1126.6
7/29/2021,1161.4
7/30/2021,1245.2
7/31/2021,1332.4
8/1/2021,1439.4
8/2/2021,1553.4
8/3/2021,1701.6
8/4/2021,1869.6
8/5/2021,2090.2
8/6/2021,2344.4
8/7/2021,2635.8
8/8/2021,2906.2
8/9/2021,3125.6
8/10/2021,3297.2
8/11/2021,3447.2
8/12/2021,3597.6
8/13/2021,3748.0
8/14/2021,3898.8
8/15/2021,4059.4
8/16/2021,4219.4
8/17/2021,4345.8
8/18/2021,4502.4
8/19/2021,4691.8
8/20/2021,4855.4
8/21/2021,4985.6
8/22/2021,5127.0
8/23/2021,5229.6
8/24/2021,5285.0
8/25/2021,5333.8
8/26/2021,4882.8
